"SampleID"	"Range"	"Haplogroup"	"Rank"	"Quality"
"HG00257"	"1-16569"	"J1c8a"	"1"	"1.0000"
"HG00258"	"1-16569"	"J1c2q"	"1"	"0.9902"
"HG00259"	"1-16569"	"T2b4+152"	"1"	"0.9832"
"HG00260"	"1-16569"	"U5b2a2c"	"1"	"0.9767"
"HG00261"	"1-16569"	"J1c2"	"1"	"0.9390"
"HG00262"	"1-16569"	"T2b13"	"1"	"0.9905"
"HG00263"	"1-16569"	"U8a1b"	"1"	"0.9781"
"HG00264"	"1-16569"	"H5s"	"1"	"1.0000"
"HG00265"	"1-16569"	"T2b19"	"1"	"0.9904"
"HG00266"	"1-16569"	"H1f1"	"1"	"1.0000"
"HG00267"	"1-16569"	"U4a2"	"1"	"0.9625"
"HG00268"	"1-16569"	"U5a2a1a"	"1"	"1.0000"
"HG00269"	"1-16569"	"H1a2"	"1"	"1.0000"
"HG00271"	"1-16569"	"U5b1b2a"	"1"	"0.9903"
"HG00272"	"1-16569"	"H1c3b"	"1"	"0.9217"
"HG00273"	"1-16569"	"U5b1b2a"	"1"	"0.9482"
"HG00274"	"1-16569"	"U5b1b2a"	"1"	"0.9598"
"HG00275"	"1-16569"	"U5b1b2"	"1"	"0.9775"
"HG00276"	"1-16569"	"J1c2n1"	"1"	"0.9877"
"HG00277"	"1-16569"	"U5b1b1a1a"	"1"	"0.9906"
"HG00278"	"1-16569"	"H1n4"	"1"	"0.9031"
"HG00280"	"1-16569"	"X2c1"	"1"	"1.0000"
"HG00281"	"1-16569"	"U5a1a1h"	"1"	"0.9868"
"HG00282"	"1-16569"	"V1a1a"	"1"	"1.0000"
"HG00284"	"1-16569"	"U5b2a1a1d"	"1"	"0.9480"
"HG00285"	"1-16569"	"U5b1b2"	"1"	"0.9900"
"HG00288"	"1-16569"	"U5a1b1h"	"1"	"1.0000"
"HG00290"	"1-16569"	"U5a2a1a"	"1"	"1.0000"
"HG00304"	"1-16569"	"H2a1a"	"1"	"0.9014"
"HG00306"	"1-16569"	"U5a2b"	"1"	"0.9576"
"HG00308"	"1-16569"	"W1a"	"1"	"1.0000"
"HG00309"	"1-16569"	"H5a1a"	"1"	"0.9331"
"HG00310"	"1-16569"	"H1a2"	"1"	"0.9943"
"HG00311"	"1-16569"	"U5b1b2a"	"1"	"0.9482"
"HG00313"	"1-16569"	"H1f1"	"1"	"1.0000"
"HG00315"	"1-16569"	"J1b1a1"	"1"	"1.0000"
"HG00318"	"1-16569"	"H3b+16129"	"1"	"0.9516"
"HG00319"	"1-16569"	"H6a1a3"	"1"	"0.9607"
"HG00320"	"1-16569"	"U5b1b1a"	"1"	"1.0000"
"HG00321"	"1-16569"	"U4a2"	"1"	"0.9625"
"HG00323"	"1-16569"	"V1a1a"	"1"	"0.9900"
"HG00324"	"1-16569"	"H13a1a1d1"	"1"	"1.0000"
"HG00325"	"1-16569"	"H4a1a1a"	"1"	"1.0000"
"HG00326"	"1-16569"	"K1c1c"	"1"	"1.0000"
"HG00327"	"1-16569"	"H85"	"1"	"0.9591"
"HG00328"	"1-16569"	"H3b+16129"	"1"	"0.9516"
"HG00329"	"1-16569"	"I2a1a"	"1"	"0.9922"
"HG00330"	"1-16569"	"U5b1b2"	"1"	"0.9574"
"HG00331"	"1-16569"	"K1a4a1a2b"	"1"	"0.9944"
"HG00332"	"1-16569"	"J1c2c2"	"1"	"0.9723"
"HG00334"	"1-16569"	"J1c3+189"	"1"	"0.9686"
"HG00335"	"1-16569"	"H1f1"	"1"	"0.9834"
"HG00336"	"1-16569"	"W6a"	"1"	"0.9849"
"HG00337"	"1-16569"	"T2b4+152"	"1"	"0.9459"
"HG00338"	"1-16569"	"J1c1d"	"1"	"0.9835"
"HG00339"	"1-16569"	"U4d1a1a"	"1"	"0.9754"
"HG00341"	"1-16569"	"U5b1b2a"	"1"	"0.9903"
"HG00342"	"1-16569"	"H1a8"	"1"	"1.0000"
"HG00343"	"1-16569"	"H6a1a3"	"1"	"0.9607"
"HG00344"	"1-16569"	"T2e1"	"1"	"0.9731"
"HG00345"	"1-16569"	"V1a1a"	"1"	"1.0000"
"HG00346"	"1-16569"	"K1a2a2"	"1"	"0.9654"
"HG00349"	"1-16569"	"K1a4a1f"	"1"	"0.9785"
"HG00350"	"1-16569"	"HV9"	"1"	"0.9857"
"HG00351"	"1-16569"	"U5a2a1e"	"1"	"0.9938"
"HG00353"	"1-16569"	"H1b1d"	"1"	"1.0000"
"HG00355"	"1-16569"	"J1c2b5"	"1"	"0.9793"
"HG00356"	"1-16569"	"T2b4+152"	"1"	"0.9608"
"HG00357"	"1-16569"	"U5b1b2a"	"1"	"0.9903"
"HG00358"	"1-16569"	"U5b1b1a"	"1"	"1.0000"
"HG00360"	"1-16569"	"H2a1"	"1"	"0.9906"
"HG00361"	"1-16569"	"H1b1i"	"1"	"1.0000"
"HG00362"	"1-16569"	"H1q1"	"1"	"0.9745"
"HG00364"	"1-16569"	"U5b1b2a"	"1"	"0.9903"
"HG00365"	"1-16569"	"H1c"	"1"	"1.0000"
"HG00366"	"1-16569"	"H5a1e"	"1"	"0.9648"
"HG00367"	"1-16569"	"U5a1b1h"	"1"	"0.9921"
"HG00368"	"1-16569"	"U5b1b2"	"1"	"0.9900"
"HG00369"	"1-16569"	"I1a1a2"	"1"	"0.9820"
"HG00371"	"1-16569"	"X2c1"	"1"	"1.0000"
"HG00372"	"1-16569"	"H1+16189"	"1"	"0.9610"
"HG00373"	"1-16569"	"U5b1b1a1b"	"1"	"0.9962"
"HG00375"	"1-16569"	"J1c2n1"	"1"	"0.9877"
"HG00376"	"1-16569"	"U5b1b1a"	"1"	"1.0000"
"HG00378"	"1-16569"	"H1a2"	"1"	"1.0000"
"HG00379"	"1-16569"	"U5b1b1a"	"1"	"1.0000"
"HG00380"	"1-16569"	"H1a8a"	"1"	"1.0000"
"HG00381"	"1-16569"	"H1a2"	"1"	"0.9943"
"HG00382"	"1-16569"	"H1h1"	"1"	"0.9883"
"HG00383"	"1-16569"	"H27a"	"1"	"0.9545"
"HG00384"	"1-16569"	"U5b1b1a"	"1"	"1.0000"
"HG00403"	"1-16569"	"M7b1a1d"	"1"	"0.9647"
"HG00404"	"1-16569"	"B5b2c1"	"1"	"0.9638"
"HG00406"	"1-16569"	"N9a10+16311"	"1"	"0.9221"
"HG00407"	"1-16569"	"R9c1b1"	"1"	"0.9658"
"HG00409"	"1-16569"	"F1a"	"1"	"0.9457"
"HG00410"	"1-16569"	"M7c1c2"	"1"	"0.9737"
"HG00419"	"1-16569"	"B4g2"	"1"	"0.7906"
"HG00421"	"1-16569"	"D4a7"	"1"	"0.9644"
"HG00422"	"1-16569"	"N9a8"	"1"	"0.9597"
"HG00428"	"1-16569"	"C4a1a2a"	"1"	"0.9076"
"HG00436"	"1-16569"	"Z4a1a"	"1"	"0.9753"
"HG00437"	"1-16569"	"F1e1"	"1"	"0.9368"
"HG00442"	"1-16569"	"F1e3"	"1"	"0.9496"
"HG00443"	"1-16569"	"M8a2a1"	"1"	"0.9331"
"HG00445"	"1-16569"	"R9c1b1"	"1"	"0.9357"
"HG00446"	"1-16569"	"B4b1"	"1"	"0.9060"
"HG00448"	"1-16569"	"M7b1a1e2"	"1"	"0.9932"
"HG00449"	"1-16569"	"R11"	"1"	"0.8788"
"HG00451"	"1-16569"	"A14"	"1"	"0.9396"
"HG00452"	"1-16569"	"B4g1b"	"1"	"0.9623"
"HG00457"	"1-16569"	"M33c"	"1"	"0.9706"
"HG00458"	"1-16569"	"B5a1c1a"	"1"	"0.9696"
"HG00463"	"1-16569"	"M20"	"1"	"0.9615"
"HG00464"	"1-16569"	"F1a1c"	"1"	"0.9403"
"HG00472"	"1-16569"	"F1c1a1b"	"1"	"0.9860"
"HG00473"	"1-16569"	"D6a1a"	"1"	"0.9883"
"HG00475"	"1-16569"	"D5a2a1b"	"1"	"0.9887"
"HG00476"	"1-16569"	"Z+152"	"1"	"0.9275"
"HG00478"	"1-16569"	"D4b2b4"	"1"	"0.9583"
"HG00479"	"1-16569"	"N9a1"	"1"	"0.9710"
"HG00500"	"1-16569"	"N9a1"	"1"	"0.9068"
"HG00501"	"1-16569"	"M7b1a1a3"	"1"	"0.9890"
"HG00513"	"1-16569"	"R11b1a"	"1"	"0.9234"
"HG00524"	"1-16569"	"M7b1a1a3"	"1"	"0.9890"
"HG00525"	"1-16569"	"M7b1a1+(16192)"	"1"	"0.9438"
"HG00530"	"1-16569"	"F1d"	"1"	"0.9112"
"HG00531"	"1-16569"	"N9a4b1"	"1"	"0.9974"
"HG00533"	"1-16569"	"B4d1'2'3"	"1"	"0.9688"
"HG00534"	"1-16569"	"R9c1a"	"1"	"0.9874"
"HG00536"	"1-16569"	"R11b1b"	"1"	"0.9073"
"HG00537"	"1-16569"	"B4a4"	"1"	"0.9365"
"HG00542"	"1-16569"	"B5a1c1a"	"1"	"1.0000"
"HG00543"	"1-16569"	"R30"	"1"	"0.7627"
"HG00551"	"1-16569"	"A2z"	"1"	"0.9579"
"HG00553"	"1-16569"	"A2"	"1"	"0.9603"
"HG00554"	"1-16569"	"L1b1a3"	"1"	"0.9931"
"HG00556"	"1-16569"	"N9a11"	"1"	"0.9742"
"HG00557"	"1-16569"	"A5b1b"	"1"	"0.9217"
"HG00559"	"1-16569"	"M10a1b"	"1"	"0.9190"
"HG00560"	"1-16569"	"F1a1"	"1"	"0.9199"
"HG00565"	"1-16569"	"A+152"	"1"	"0.9073"
"HG00566"	"1-16569"	"A+152"	"1"	"0.9657"
"HG00580"	"1-16569"	"D5b1b"	"1"	"0.9884"
"HG00581"	"1-16569"	"D4j15"	"1"	"0.9019"
"HG00583"	"1-16569"	"D4a8"	"1"	"1.0000"
"HG00584"	"1-16569"	"N9a3"	"1"	"0.9377"
"HG00589"	"1-16569"	"F1a1"	"1"	"0.9171"
"HG00590"	"1-16569"	"C7a1"	"1"	"0.9391"
"HG00592"	"1-16569"	"N9a1"	"1"	"1.0000"
"HG00593"	"1-16569"	"M7b1a1d1"	"1"	"0.9899"
"HG00595"	"1-16569"	"D5a2a+16092"	"1"	"0.9942"
"HG00596"	"1-16569"	"B4c1a1"	"1"	"0.9807"
"HG00598"	"1-16569"	"G2a'c"	"1"	"0.9529"
"HG00599"	"1-16569"	"B4a1c4"	"1"	"0.9881"
"HG00607"	"1-16569"	"M8a2c"	"1"	"0.9877"
"HG00608"	"1-16569"	"B4a1c5"	"1"	"0.9837"
"HG00610"	"1-16569"	"B5b"	"1"	"0.9239"
"HG00611"	"1-16569"	"M7c1a1a"	"1"	"0.9683"
"HG00613"	"1-16569"	"D4a3b2"	"1"	"0.9945"
"HG00614"	"1-16569"	"Z3"	"1"	"0.9260"
"HG00619"	"1-16569"	"D4a3b2"	"1"	"0.9916"
"HG00620"	"1-16569"	"N9a10"	"1"	"0.9715"
"HG00622"	"1-16569"	"G2a'c"	"1"	"0.9529"
"HG00623"	"1-16569"	"B4c1b2"	"1"	"0.9244"
"HG00625"	"1-16569"	"D4b2b7"	"1"	"0.9809"
"HG00626"	"1-16569"	"M12a1a1"	"1"	"0.9699"
"HG00628"	"1-16569"	"D5a2a1+@16172"	"1"	"0.9756"
"HG00629"	"1-16569"	"D4g2a1"	"1"	"0.9346"
"HG00631"	"1-16569"	"B4g2"	"1"	"0.8821"
"HG00632"	"1-16569"	"F1a1"	"1"	"0.9664"
"HG00634"	"1-16569"	"A18"	"1"	"0.9594"
"HG00635"	"1-16569"	"D4j15"	"1"	"0.9019"
"HG00637"	"1-16569"	"A2k1a"	"1"	"1.0000"
"HG00638"	"1-16569"	"A2"	"1"	"0.9119"
"HG00640"	"1-16569"	"B2b3a"	"1"	"0.9535"
"HG00641"	"1-16569"	"C1b2"	"1"	"1.0000"
"HG00650"	"1-16569"	"M7b1a1f"	"1"	"0.9517"
"HG00651"	"1-16569"	"D4+195"	"1"	"0.9361"
"HG00653"	"1-16569"	"N8"	"1"	"0.9076"
"HG00654"	"1-16569"	"R+16189"	"1"	"0.8216"
"HG00656"	"1-16569"	"A13"	"1"	"0.9053"
"HG00657"	"1-16569"	"D5b3"	"1"	"0.9843"
"HG00662"	"1-16569"	"D4b1b"	"1"	"0.9379"
"HG00663"	"1-16569"	"R9b1a3"	"1"	"0.9483"
"HG00671"	"1-16569"	"D4i3"	"1"	"0.9547"
"HG00672"	"1-16569"	"F1d"	"1"	"0.9152"
"HG00674"	"1-16569"	"F4a1a"	"1"	"0.9691"
"HG00675"	"1-16569"	"F2a1"	"1"	"0.9726"
"HG00683"	"1-16569"	"M71a1a"	"1"	"0.9595"
"HG00684"	"1-16569"	"D5a2a1b"	"1"	"0.9509"
"HG00689"	"1-16569"	"M7b1a1+(16192)"	"1"	"0.9602"
"HG00690"	"1-16569"	"B5b2b"	"1"	"0.9913"
"HG00692"	"1-16569"	"M7b1a1+(16192)"	"1"	"1.0000"
"HG00693"	"1-16569"	"D4b2b2a"	"1"	"0.9633"
"HG00698"	"1-16569"	"D4e1a3"	"1"	"0.9644"
"HG00699"	"1-16569"	"D4a7"	"1"	"0.9644"
"HG00701"	"1-16569"	"M7c1c2"	"1"	"0.9645"
"HG00702"	"1-16569"	"D5b3"	"1"	"0.9843"
"HG00704"	"1-16569"	"B4c1b2c2"	"1"	"0.9619"
"HG00705"	"1-16569"	"F1a1'4"	"1"	"0.9558"
"HG00707"	"1-16569"	"F1g"	"1"	"0.9747"
"HG00708"	"1-16569"	"B5a1c"	"1"	"0.9275"
"HG00717"	"1-16569"	"F2g"	"1"	"0.9433"
"HG00728"	"1-16569"	"F1a3b"	"1"	"0.9680"
"HG00729"	"1-16569"	"R+16189"	"1"	"0.8284"
"HG00731"	"1-16569"	"A2z"	"1"	"1.0000"
"HG00732"	"1-16569"	"A2"	"1"	"0.9603"
"HG00733"	"1-16569"	"A2"	"1"	"0.9603"
"HG00734"	"1-16569"	"C1b2"	"1"	"0.9917"
"HG00736"	"1-16569"	"A2z"	"1"	"0.9735"
"HG00737"	"1-16569"	"C1b2"	"1"	"1.0000"
"HG00739"	"1-16569"	"L3d1b1"	"1"	"0.9748"
"HG00740"	"1-16569"	"L1b1a7a"	"1"	"0.9863"
"HG00742"	"1-16569"	"C1b2"	"1"	"0.9938"
"HG00743"	"1-16569"	"C1b2"	"1"	"1.0000"
"HG00759"	"1-16569"	"M7c2b"	"1"	"1.0000"
"HG00766"	"1-16569"	"D4b2b"	"1"	"0.9570"
"HG00844"	"1-16569"	"C7a"	"1"	"0.9813"
"HG00851"	"1-16569"	"D4b2b"	"1"	"0.9570"
"HG00864"	"1-16569"	"C7a1"	"1"	"0.9420"
"HG00867"	"1-16569"	"F1a1c"	"1"	"0.9361"
"HG00879"	"1-16569"	"B5a1a"	"1"	"0.9848"
"HG00881"	"1-16569"	"D4b2b"	"1"	"0.9570"
"HG00956"	"1-16569"	"F1a1a"	"1"	"0.9485"
"HG00978"	"1-16569"	"R9b1a2b"	"1"	"0.9474"
"HG00982"	"1-16569"	"B4c2c"	"1"	"0.9827"
"HG01028"	"1-16569"	"M7b1a1a3"	"1"	"0.9805"
"HG01029"	"1-16569"	"M7b1a1"	"1"	"0.9755"
"HG01031"	"1-16569"	"B4c2c"	"1"	"0.9664"
"HG01046"	"1-16569"	"B5a1a"	"1"	"0.9848"
"HG01047"	"1-16569"	"A2am"	"1"	"1.0000"
"HG01048"	"1-16569"	"C1b2"	"1"	"1.0000"
"HG01049"	"1-16569"	"L0a1b1a1"	"1"	"0.9877"
"HG01051"	"1-16569"	"K1a4a1h"	"1"	"0.9858"
"HG01052"	"1-16569"	"J2a1a1"	"1"	"0.9830"
"HG01054"	"1-16569"	"A2"	"1"	"0.9603"
"HG01055"	"1-16569"	"U5b2b3a"	"1"	"0.9688"
"HG01058"	"1-16569"	"C1b2"	"1"	"1.0000"
"HG01060"	"1-16569"	"A2k1a"	"1"	"1.0000"
"HG01061"	"1-16569"	"A2z"	"1"	"0.9830"
"HG01063"	"1-16569"	"L3e2b+152"	"1"	"0.9688"
"HG01064"	"1-16569"	"A2k1a"	"1"	"1.0000"
"HG01066"	"1-16569"	"C"	"1"	"0.9132"
"HG01067"	"1-16569"	"C1b2"	"1"	"1.0000"
"HG01069"	"1-16569"	"C1b2"	"1"	"1.0000"
"HG01070"	"1-16569"	"C1b4"	"1"	"1.0000"
"HG01072"	"1-16569"	"C1b2"	"1"	"1.0000"
"HG01073"	"1-16569"	"L3e1e"	"1"	"0.9126"
"HG01075"	"1-16569"	"J1c2e"	"1"	"0.9634"
"HG01077"	"1-16569"	"A2"	"1"	"0.9603"
"HG01079"	"1-16569"	"B2b3a"	"1"	"0.9535"
"HG01080"	"1-16569"	"L1c3b1a"	"1"	"1.0000"
"HG01082"	"1-16569"	"A2k1a"	"1"	"0.9859"
"HG01083"	"1-16569"	"A2z"	"1"	"1.0000"
"HG01085"	"1-16569"	"A2k"	"1"	"0.9339"
"HG01086"	"1-16569"	"C1b4"	"1"	"1.0000"
"HG01088"	"1-16569"	"B2b3a"	"1"	"0.9535"
"HG01089"	"1-16569"	"C1b4"	"1"	"0.9985"
"HG01092"	"1-16569"	"C1b2"	"1"	"0.9904"
"HG01094"	"1-16569"	"U2e1a1"	"1"	"0.9867"
"HG01095"	"1-16569"	"L3e1e2"	"1"	"0.9882"
"HG01097"	"1-16569"	"A2k1a"	"1"	"0.9708"
"HG01098"	"1-16569"	"J1b1a1"	"1"	"0.9773"
"HG01101"	"1-16569"	"C1b4"	"1"	"1.0000"
"HG01102"	"1-16569"	"C1b2"	"1"	"1.0000"
