"SampleID"	"Range"	"Haplogroup"	"Rank"	"Quality"
"HG01272"	"1-16569"	"M1a1i"	"1"	"1.0000"
"HG01275"	"1-16569"	"A2w"	"1"	"0.9836"
"HG01277"	"1-16569"	"B2d"	"1"	"1.0000"
"HG01280"	"1-16569"	"A2w"	"1"	"1.0000"
"HG01281"	"1-16569"	"A2w"	"1"	"0.9836"
"HG01284"	"1-16569"	"A2w"	"1"	"0.9836"
"HG01286"	"1-16569"	"L2a1l1b"	"1"	"0.9684"
"HG01302"	"1-16569"	"J1b1a1"	"1"	"0.9790"
"HG01303"	"1-16569"	"C"	"1"	"0.9036"
"HG01305"	"1-16569"	"A2z"	"1"	"0.9838"
"HG01308"	"1-16569"	"J1b1a1"	"1"	"0.9790"
"HG01311"	"1-16569"	"A2"	"1"	"0.9566"
"HG01312"	"1-16569"	"C1b2"	"1"	"1.0000"
"HG01323"	"1-16569"	"L3e1e2"	"1"	"0.9294"
"HG01325"	"1-16569"	"A2k1a"	"1"	"1.0000"
"HG01326"	"1-16569"	"L3e1e2"	"1"	"0.9294"
"HG01334"	"1-16569"	"K2a11"	"1"	"0.9915"
"HG01341"	"1-16569"	"C"	"1"	"0.9436"
"HG01342"	"1-16569"	"A2v"	"1"	"0.9777"
"HG01344"	"1-16569"	"B2d"	"1"	"0.9527"
"HG01345"	"1-16569"	"B2"	"1"	"0.9154"
"HG01348"	"1-16569"	"A2al"	"1"	"0.9873"
"HG01350"	"1-16569"	"A2w"	"1"	"1.0000"
"HG01351"	"1-16569"	"A2w"	"1"	"1.0000"
"HG01353"	"1-16569"	"B2d"	"1"	"0.9923"
"HG01354"	"1-16569"	"A2w"	"1"	"0.9836"
"HG01356"	"1-16569"	"A2w"	"1"	"0.9261"
"HG01357"	"1-16569"	"A2w"	"1"	"1.0000"
"HG01359"	"1-16569"	"A2w"	"1"	"0.9396"
"HG01360"	"1-16569"	"B2d"	"1"	"0.9939"
"HG01362"	"1-16569"	"L3b1a+@16124"	"1"	"0.9753"
"HG01363"	"1-16569"	"L2a1a2c"	"1"	"0.9842"
"HG01365"	"1-16569"	"L3e1a"	"1"	"0.9757"
"HG01366"	"1-16569"	"B2d"	"1"	"0.9923"
"HG01369"	"1-16569"	"C"	"1"	"0.8936"
"HG01372"	"1-16569"	"A2q"	"1"	"0.9421"
"HG01374"	"1-16569"	"A2q"	"1"	"0.9421"
"HG01375"	"1-16569"	"A2w"	"1"	"1.0000"
"HG01377"	"1-16569"	"B2d"	"1"	"0.9763"
"HG01378"	"1-16569"	"L1c3b1"	"1"	"0.9889"
"HG01383"	"1-16569"	"A2w"	"1"	"1.0000"
"HG01384"	"1-16569"	"A2w"	"1"	"1.0000"
"HG01389"	"1-16569"	"L1c3a1b"	"1"	"0.9648"
"HG01390"	"1-16569"	"B2d"	"1"	"1.0000"
"HG01392"	"1-16569"	"C1b2"	"1"	"1.0000"
"HG01393"	"1-16569"	"A2z"	"1"	"1.0000"
"HG01395"	"1-16569"	"A2z"	"1"	"1.0000"
"HG01396"	"1-16569"	"C1b4"	"1"	"1.0000"
"HG01398"	"1-16569"	"A2z"	"1"	"0.9923"
"HG01402"	"1-16569"	"C1b4"	"1"	"1.0000"
"HG01403"	"1-16569"	"L2b1a"	"1"	"0.9530"
"HG01405"	"1-16569"	"T2a1a"	"1"	"0.9742"
"HG01412"	"1-16569"	"A2"	"1"	"0.9601"
"HG01413"	"1-16569"	"A2"	"1"	"0.9603"
"HG01414"	"1-16569"	"L3e2b3"	"1"	"0.9814"
"HG01431"	"1-16569"	"A2w1"	"1"	"0.8967"
"HG01432"	"1-16569"	"B2d"	"1"	"0.8587"
"HG01435"	"1-16569"	"C1d2a"	"1"	"0.9361"
"HG01437"	"1-16569"	"B2b+152"	"1"	"0.8407"
"HG01438"	"1-16569"	"T2b4c"	"1"	"0.9837"
"HG01440"	"1-16569"	"A2ac1"	"1"	"1.0000"
"HG01441"	"1-16569"	"D1f2"	"1"	"0.9343"
"HG01443"	"1-16569"	"A2+(64)+@153"	"1"	"0.9194"
"HG01444"	"1-16569"	"B2d"	"1"	"0.9840"
"HG01447"	"1-16569"	"A2w"	"1"	"1.0000"
"HG01455"	"1-16569"	"B2d"	"1"	"1.0000"
"HG01456"	"1-16569"	"L3e2a1b3"	"1"	"0.9630"
"HG01459"	"1-16569"	"A2w"	"1"	"1.0000"
"HG01461"	"1-16569"	"C1c3"	"1"	"0.9966"
"HG01462"	"1-16569"	"C1d1"	"1"	"0.9060"
"HG01464"	"1-16569"	"L2a1c4a"	"1"	"0.9851"
"HG01465"	"1-16569"	"B2d"	"1"	"0.9740"
"HG01468"	"1-16569"	"A2w"	"1"	"1.0000"
"HG01474"	"1-16569"	"A2w"	"1"	"0.9771"
"HG01479"	"1-16569"	"B2b+152"	"1"	"0.9595"
"HG01485"	"1-16569"	"T2b4c"	"1"	"0.9837"
"HG01486"	"1-16569"	"A2+(64)+@153"	"1"	"0.9179"
"HG01488"	"1-16569"	"B2d"	"1"	"0.9612"
"HG01489"	"1-16569"	"H6a1a7"	"1"	"1.0000"
"HG01491"	"1-16569"	"B2d"	"1"	"1.0000"
"HG01492"	"1-16569"	"A2al"	"1"	"0.9873"
"HG01494"	"1-16569"	"B2d"	"1"	"0.9740"
"HG01495"	"1-16569"	"A2w1"	"1"	"0.8967"
"HG01497"	"1-16569"	"B2d"	"1"	"0.9763"
"HG01498"	"1-16569"	"B2d"	"1"	"0.9740"
"HG01500"	"1-16569"	"H3c"	"1"	"0.9879"
"HG01501"	"1-16569"	"H1bw"	"1"	"1.0000"
"HG01503"	"1-16569"	"H1z"	"1"	"0.9280"
"HG01504"	"1-16569"	"H1t"	"1"	"0.9638"
"HG01506"	"1-16569"	"H"	"1"	"0.8482"
"HG01507"	"1-16569"	"H1"	"1"	"1.0000"
"HG01509"	"1-16569"	"H1+16189"	"1"	"0.8487"
"HG01510"	"1-16569"	"H13a1a1"	"1"	"0.8974"
"HG01512"	"1-16569"	"J1c2e2"	"1"	"1.0000"
"HG01513"	"1-16569"	"H1j2a"	"1"	"0.9730"
"HG01515"	"1-16569"	"H"	"1"	"0.8487"
"HG01516"	"1-16569"	"H3+73"	"1"	"0.9306"
"HG01518"	"1-16569"	"J1c3a2"	"1"	"0.9683"
"HG01519"	"1-16569"	"H1b"	"1"	"0.8422"
"HG01521"	"1-16569"	"H1cd"	"1"	"1.0000"
"HG01522"	"1-16569"	"H17a"	"1"	"0.9330"
"HG01524"	"1-16569"	"U5b2a6"	"1"	"0.9695"
"HG01525"	"1-16569"	"H105a"	"1"	"0.8763"
"HG01527"	"1-16569"	"I2"	"1"	"0.9515"
"HG01528"	"1-16569"	"H1ah"	"1"	"0.9937"
"HG01530"	"1-16569"	"U5a2+16294"	"1"	"0.9488"
"HG01531"	"1-16569"	"N1b1a"	"1"	"1.0000"
"HG01536"	"1-16569"	"K1a4a1"	"1"	"0.9691"
"HG01537"	"1-16569"	"K1a4"	"1"	"0.9719"
"HG01550"	"1-16569"	"B2d"	"1"	"0.9740"
"HG01551"	"1-16569"	"L3e4a"	"1"	"0.9633"
"HG01556"	"1-16569"	"C1d1d"	"1"	"0.9759"
"HG01565"	"1-16569"	"A2+(64)"	"1"	"0.8713"
"HG01566"	"1-16569"	"A2"	"1"	"0.9101"
"HG01571"	"1-16569"	"C"	"1"	"0.9105"
"HG01572"	"1-16569"	"B2y"	"1"	"0.8743"
"HG01577"	"1-16569"	"D1"	"1"	"0.9518"
"HG01578"	"1-16569"	"D1"	"1"	"0.9102"
"HG01583"	"1-16569"	"M3a2"	"1"	"0.9232"
"HG01586"	"1-16569"	"H2b"	"1"	"0.8895"
"HG01589"	"1-16569"	"H13a2a"	"1"	"0.8956"
"HG01593"	"1-16569"	"R30a1b"	"1"	"0.9061"
"HG01595"	"1-16569"	"F1f"	"1"	"0.9723"
"HG01596"	"1-16569"	"M7b1a1a3"	"1"	"0.9526"
"HG01597"	"1-16569"	"F1+16189"	"1"	"0.8434"
"HG01598"	"1-16569"	"F1a1"	"1"	"0.9682"
"HG01599"	"1-16569"	"M7b1a1+(16192)"	"1"	"0.9843"
"HG01600"	"1-16569"	"F1f"	"1"	"0.9899"
"HG01602"	"1-16569"	"J1c3f"	"1"	"0.9487"
"HG01603"	"1-16569"	"U5a1h"	"1"	"1.0000"
"HG01605"	"1-16569"	"K1a4a1"	"1"	"0.9938"
"HG01606"	"1-16569"	"H1ae2"	"1"	"0.9022"
"HG01607"	"1-16569"	"L1b1a6"	"1"	"0.9914"
"HG01608"	"1-16569"	"H1c"	"1"	"0.9424"
"HG01610"	"1-16569"	"U5a1+@16192"	"1"	"0.9090"
"HG01612"	"1-16569"	"U4a2f"	"1"	"0.9511"
"HG01613"	"1-16569"	"H1"	"1"	"0.9809"
"HG01615"	"1-16569"	"U5a1c"	"1"	"0.8785"
"HG01617"	"1-16569"	"K1a2a"	"1"	"0.9932"
"HG01618"	"1-16569"	"T2b"	"1"	"0.9431"
"HG01619"	"1-16569"	"H5a7"	"1"	"0.9107"
"HG01620"	"1-16569"	"V2b"	"1"	"0.9114"
"HG01623"	"1-16569"	"HV0+195"	"1"	"0.9274"
"HG01624"	"1-16569"	"H53"	"1"	"0.8771"
"HG01625"	"1-16569"	"U1a1a2"	"1"	"0.9735"
"HG01626"	"1-16569"	"T2a1b1a1b"	"1"	"0.9764"
"HG01628"	"1-16569"	"U6a1a1"	"1"	"0.9100"
"HG01630"	"1-16569"	"H7"	"1"	"0.9486"
"HG01631"	"1-16569"	"H1q"	"1"	"0.8282"
"HG01632"	"1-16569"	"T2a1a"	"1"	"0.9915"
"HG01668"	"1-16569"	"H8c"	"1"	"0.9920"
"HG01669"	"1-16569"	"U4c1"	"1"	"0.9891"
"HG01670"	"1-16569"	"U4c1"	"1"	"0.9745"
"HG01672"	"1-16569"	"HV0f"	"1"	"0.8854"
"HG01673"	"1-16569"	"U5b1f1a"	"1"	"0.9646"
"HG01675"	"1-16569"	"K1a2a"	"1"	"0.9932"
"HG01676"	"1-16569"	"H5a1g"	"1"	"0.9190"
"HG01678"	"1-16569"	"H1e1a1"	"1"	"0.9866"
"HG01679"	"1-16569"	"H5a3a1"	"1"	"0.9582"
"HG01680"	"1-16569"	"V"	"1"	"0.9571"
"HG01682"	"1-16569"	"HV0f"	"1"	"0.9153"
"HG01684"	"1-16569"	"T2b5a"	"1"	"0.9908"
"HG01685"	"1-16569"	"K1c1"	"1"	"0.9709"
"HG01686"	"1-16569"	"V19"	"1"	"0.9430"
"HG01694"	"1-16569"	"J1b1a1"	"1"	"0.9773"
"HG01695"	"1-16569"	"H7"	"1"	"0.9611"
"HG01697"	"1-16569"	"T1a1"	"1"	"0.9864"
"HG01699"	"1-16569"	"H56"	"1"	"0.8412"
"HG01700"	"1-16569"	"V3a"	"1"	"0.9709"
"HG01702"	"1-16569"	"T2b33"	"1"	"0.9607"
"HG01704"	"1-16569"	"V"	"1"	"0.8377"
"HG01705"	"1-16569"	"U2e1a1"	"1"	"1.0000"
"HG01707"	"1-16569"	"U4b3"	"1"	"0.9320"
"HG01708"	"1-16569"	"H40"	"1"	"0.9054"
"HG01709"	"1-16569"	"H34"	"1"	"0.9928"
"HG01710"	"1-16569"	"HV4a1a"	"1"	"0.9822"
"HG01746"	"1-16569"	"U5b"	"1"	"0.9146"
"HG01747"	"1-16569"	"H"	"1"	"0.9162"
"HG01756"	"1-16569"	"H17a"	"1"	"0.8978"
"HG01757"	"1-16569"	"U4a2"	"1"	"0.9601"
"HG01761"	"1-16569"	"L3d1b1"	"1"	"0.9944"
"HG01762"	"1-16569"	"U5b3"	"1"	"0.9290"
"HG01765"	"1-16569"	"H1ba"	"1"	"0.8645"
"HG01766"	"1-16569"	"N1b1a2"	"1"	"0.9732"
"HG01767"	"1-16569"	"V25"	"1"	"1.0000"
"HG01768"	"1-16569"	"H6a1b2d"	"1"	"1.0000"
"HG01770"	"1-16569"	"H3af"	"1"	"0.8369"
"HG01771"	"1-16569"	"H4a1a4a"	"1"	"0.9572"
"HG01773"	"1-16569"	"H6a1a"	"1"	"1.0000"
"HG01775"	"1-16569"	"U5a2c"	"1"	"0.9928"
"HG01776"	"1-16569"	"H1ag"	"1"	"0.8810"
"HG01777"	"1-16569"	"H1c3a"	"1"	"0.9698"
"HG01779"	"1-16569"	"H"	"1"	"0.8692"
"HG01781"	"1-16569"	"R0a4"	"1"	"0.9462"
"HG01783"	"1-16569"	"H4a1a"	"1"	"0.9736"
"HG01784"	"1-16569"	"H1j"	"1"	"0.9705"
"HG01785"	"1-16569"	"H"	"1"	"0.8525"
"HG01786"	"1-16569"	"H1"	"1"	"0.9500"
"HG01789"	"1-16569"	"H5a1c1a"	"1"	"0.9304"
"HG01790"	"1-16569"	"H33a"	"1"	"1.0000"
"HG01791"	"1-16569"	"U5b2c2b"	"1"	"0.9794"
"HG01794"	"1-16569"	"F1a"	"1"	"0.9107"
"HG01795"	"1-16569"	"M61"	"1"	"0.9262"
"HG01796"	"1-16569"	"R9b1a3"	"1"	"0.9105"
"HG01797"	"1-16569"	"F3a1"	"1"	"0.9699"
"HG01798"	"1-16569"	"B4b1a2"	"1"	"0.9631"
"HG01799"	"1-16569"	"B4c2"	"1"	"0.8969"
"HG01800"	"1-16569"	"F1a1"	"1"	"0.9085"
"HG01801"	"1-16569"	"F1a2a"	"1"	"0.9633"
"HG01802"	"1-16569"	"F1a1"	"1"	"0.9731"
"HG01804"	"1-16569"	"D4b1a"	"1"	"0.8895"
"HG01805"	"1-16569"	"F1a1a"	"1"	"0.9406"
"HG01806"	"1-16569"	"F1f"	"1"	"0.9423"
"HG01807"	"1-16569"	"D4b2b"	"1"	"0.9690"
"HG01808"	"1-16569"	"C7a"	"1"	"0.9886"
"HG01809"	"1-16569"	"F1a1a"	"1"	"0.9485"
"HG01810"	"1-16569"	"M7b1a1+(16192)"	"1"	"0.9788"
"HG01811"	"1-16569"	"B4c2c"	"1"	"0.9719"
"HG01812"	"1-16569"	"M12a1a"	"1"	"0.8907"
"HG01813"	"1-16569"	"B5a1a"	"1"	"0.9884"
"HG01815"	"1-16569"	"B5a1d"	"1"	"0.9682"
"HG01816"	"1-16569"	"F1a1a"	"1"	"0.8665"
"HG01817"	"1-16569"	"M7b1a1d1"	"1"	"1.0000"
"HG01840"	"1-16569"	"M7b1a1f"	"1"	"0.9618"
"HG01841"	"1-16569"	"M7b1a1+(16192)"	"1"	"0.9337"
"HG01842"	"1-16569"	"F1a1a"	"1"	"0.9584"
"HG01843"	"1-16569"	"M7b1a1+(16192)"	"1"	"0.9496"
"HG01844"	"1-16569"	"D4a7"	"1"	"0.9810"
"HG01845"	"1-16569"	"B5a1a"	"1"	"0.8590"
"HG01846"	"1-16569"	"M7b1a1a3"	"1"	"0.9526"
"HG01847"	"1-16569"	"F1a1a"	"1"	"0.9780"
"HG01848"	"1-16569"	"B5a1d"	"1"	"1.0000"
"HG01849"	"1-16569"	"F1f"	"1"	"0.9408"
"HG01850"	"1-16569"	"B5a1a"	"1"	"0.9903"
"HG01851"	"1-16569"	"M7c2"	"1"	"0.9730"
"HG01852"	"1-16569"	"D5b1c1a"	"1"	"0.9560"
"HG01853"	"1-16569"	"F1a1a1"	"1"	"0.9794"
"HG01855"	"1-16569"	"N9a10"	"1"	"0.9758"
"HG01857"	"1-16569"	"F1a1a"	"1"	"0.9512"
"HG01858"	"1-16569"	"F1f"	"1"	"0.9297"
"HG01859"	"1-16569"	"B5a1"	"1"	"0.9262"
"HG01860"	"1-16569"	"F1f"	"1"	"0.9747"
"HG01861"	"1-16569"	"M7b1a1a3"	"1"	"0.9542"
"HG01862"	"1-16569"	"F1a1a"	"1"	"0.9618"
"HG01863"	"1-16569"	"B5a1a"	"1"	"0.9542"
"HG01864"	"1-16569"	"B5a1a"	"1"	"0.9514"
"HG01865"	"1-16569"	"R22"	"1"	"0.8287"
"HG01866"	"1-16569"	"B4b1c1"	"1"	"1.0000"
"HG01867"	"1-16569"	"F3a1"	"1"	"0.9699"
"HG01868"	"1-16569"	"B5a1c"	"1"	"0.9767"
"HG01869"	"1-16569"	"R+16189"	"1"	"0.8146"
"HG01870"	"1-16569"	"B5a1"	"1"	"0.9187"
"HG01871"	"1-16569"	"M7b1a1b"	"1"	"0.9749"
"HG01872"	"1-16569"	"R+16189"	"1"	"0.7926"
"HG01873"	"1-16569"	"F1a1a1"	"1"	"0.9755"
"HG01874"	"1-16569"	"R9b1a1a"	"1"	"0.9545"
"HG01878"	"1-16569"	"B5a1c"	"1"	"0.9602"
"HG01879"	"1-16569"	"L3b2b"	"1"	"1.0000"
"HG01880"	"1-16569"	"L2c1"	"1"	"0.9805"
"HG01882"	"1-16569"	"L0a1a2"	"1"	"0.9861"
"HG01883"	"1-16569"	"L2a1f3"	"1"	"0.9833"
"HG01885"	"1-16569"	"L1c1d"	"1"	"0.9428"
"HG01886"	"1-16569"	"L1b2"	"1"	"0.9473"
"HG01889"	"1-16569"	"L2a1a"	"1"	"0.9840"
"HG01890"	"1-16569"	"L2a1f2"	"1"	"0.9713"
"HG01892"	"1-16569"	"A2+(64)"	"1"	"0.9480"
"HG01893"	"1-16569"	"B2"	"1"	"0.9548"
"HG01894"	"1-16569"	"L3d3b"	"1"	"0.9332"
"HG01896"	"1-16569"	"L2a1c3a"	"1"	"0.9747"
"HG01912"	"1-16569"	"L3e2a1b"	"1"	"1.0000"
"HG01914"	"1-16569"	"L3b1a"	"1"	"0.9562"
"HG01915"	"1-16569"	"L2a1f"	"1"	"0.9939"
"HG01917"	"1-16569"	"D1"	"1"	"0.9145"
"HG01918"	"1-16569"	"A2+(64)"	"1"	"0.9444"
"HG01920"	"1-16569"	"B2"	"1"	"0.9319"
"HG01921"	"1-16569"	"D1"	"1"	"0.9278"
"HG01923"	"1-16569"	"B2"	"1"	"0.9552"
"HG01924"	"1-16569"	"B2b"	"1"	"0.9083"
"HG01926"	"1-16569"	"B2"	"1"	"0.9469"
"HG01927"	"1-16569"	"B2b"	"1"	"0.9173"
"HG01932"	"1-16569"	"C"	"1"	"0.9154"
"HG01933"	"1-16569"	"L2a1a"	"1"	"1.0000"
"HG01935"	"1-16569"	"A2+(64)"	"1"	"0.9446"
"HG01936"	"1-16569"	"B2b"	"1"	"0.9967"
"HG01938"	"1-16569"	"D1"	"1"	"0.9538"
"HG01939"	"1-16569"	"D1"	"1"	"0.9309"
"HG01941"	"1-16569"	"B2"	"1"	"0.9250"
"HG01942"	"1-16569"	"C"	"1"	"0.9247"
"HG01944"	"1-16569"	"C"	"1"	"0.9230"
"HG01945"	"1-16569"	"B2"	"1"	"0.9466"
"HG01947"	"1-16569"	"C"	"1"	"0.9383"
"HG01948"	"1-16569"	"C"	"1"	"0.9416"
"HG01950"	"1-16569"	"C"	"1"	"0.8959"
"HG01951"	"1-16569"	"A2"	"1"	"0.9469"
"HG01953"	"1-16569"	"B2b"	"1"	"0.9420"
"HG01954"	"1-16569"	"A2+(64)"	"1"	"0.9805"
"HG01956"	"1-16569"	"L1b2"	"1"	"0.9765"
"HG01958"	"1-16569"	"L2a1e1"	"1"	"0.9753"
"HG01961"	"1-16569"	"C"	"1"	"0.9251"
"HG01965"	"1-16569"	"C1b"	"1"	"0.9249"
"HG01967"	"1-16569"	"B2b"	"1"	"0.9443"
"HG01968"	"1-16569"	"B2b"	"1"	"0.9283"
"HG01970"	"1-16569"	"B2"	"1"	"0.9617"
"HG01971"	"1-16569"	"B2b"	"1"	"0.9493"
"HG01973"	"1-16569"	"B2"	"1"	"0.9593"
"HG01974"	"1-16569"	"B2"	"1"	"0.8586"
"HG01976"	"1-16569"	"H13a1a1"	"1"	"0.9391"
"HG01977"	"1-16569"	"B2"	"1"	"0.9430"
"HG01979"	"1-16569"	"B2"	"1"	"0.8967"
"HG01980"	"1-16569"	"B2"	"1"	"0.9314"
"HG01982"	"1-16569"	"C"	"1"	"0.8898"
"HG01983"	"1-16569"	"B2y"	"1"	"0.9634"
"HG01985"	"1-16569"	"L3e1"	"1"	"0.9162"
"HG01986"	"1-16569"	"L1c3a"	"1"	"0.9757"
"HG01988"	"1-16569"	"L1b1a7"	"1"	"0.9721"
"HG01989"	"1-16569"	"L2c"	"1"	"0.9862"
"HG01990"	"1-16569"	"L1c3a1a"	"1"	"0.9641"
"HG01991"	"1-16569"	"B2"	"1"	"0.8334"
"HG01992"	"1-16569"	"B2b"	"1"	"0.9146"
"HG01997"	"1-16569"	"D1"	"1"	"0.9254"
"HG02002"	"1-16569"	"B2b+152"	"1"	"0.9300"
"HG02003"	"1-16569"	"B2b"	"1"	"0.9461"
"HG02006"	"1-16569"	"L3e3b1"	"1"	"1.0000"
"HG02008"	"1-16569"	"D1"	"1"	"0.9796"
"HG02009"	"1-16569"	"L2a1i"	"1"	"0.9713"
"HG02010"	"1-16569"	"L1c1d1"	"1"	"0.9586"
"HG02012"	"1-16569"	"L3e2a1a"	"1"	"0.9392"
"HG02013"	"1-16569"	"L3e1a3b"	"1"	"0.9527"
"HG02014"	"1-16569"	"L1c1c"	"1"	"0.9400"
"HG02016"	"1-16569"	"M23'75"	"1"	"0.8032"
"HG02017"	"1-16569"	"R9b1a1a"	"1"	"0.9361"
"HG02019"	"1-16569"	"M7b1a1"	"1"	"0.9730"
"HG02020"	"1-16569"	"R9c"	"1"	"0.8857"
"HG02023"	"1-16569"	"F1f"	"1"	"0.9346"
"HG02024"	"1-16569"	"M10a1a1b1"	"1"	"0.9622"
"HG02025"	"1-16569"	"M10a1a1b1"	"1"	"0.9622"
"HG02026"	"1-16569"	"Y1b1a"	"1"	"1.0000"
"HG02028"	"1-16569"	"M74a"	"1"	"0.9568"
"HG02029"	"1-16569"	"F1a4b"	"1"	"0.9834"
"HG02031"	"1-16569"	"M7b1a1f"	"1"	"0.9897"
"HG02032"	"1-16569"	"N9a6"	"1"	"0.9614"
"HG02035"	"1-16569"	"R9b1b"	"1"	"0.9635"
"HG02040"	"1-16569"	"N9a10"	"1"	"0.9941"
"HG02046"	"1-16569"	"M7b1a1a"	"1"	"0.9655"
"HG02047"	"1-16569"	"B5a1b1"	"1"	"0.9802"
"HG02048"	"1-16569"	"M7b1a1a2"	"1"	"0.9736"
"HG02049"	"1-16569"	"B4c2"	"1"	"0.9098"
"HG02050"	"1-16569"	"F2e"	"1"	"0.9268"
"HG02051"	"1-16569"	"L2a1f"	"1"	"0.9738"
"HG02052"	"1-16569"	"L1c1a2b"	"1"	"0.9746"
"HG02053"	"1-16569"	"L1c1a2"	"1"	"0.9209"
"HG02054"	"1-16569"	"U6a3c"	"1"	"0.9267"
"HG02057"	"1-16569"	"M7b1a1+(16192)"	"1"	"0.9590"
"HG02058"	"1-16569"	"B5a1a"	"1"	"0.9727"
"HG02060"	"1-16569"	"M7b1a1e1"	"1"	"0.9890"
"HG02061"	"1-16569"	"R9b1b"	"1"	"0.9786"
"HG02064"	"1-16569"	"B4b1a"	"1"	"0.9067"
"HG02067"	"1-16569"	"M7b1a1a"	"1"	"0.9655"
"HG02069"	"1-16569"	"B4b1c1"	"1"	"1.0000"
"HG02070"	"1-16569"	"M51a2"	"1"	"0.9984"
"HG02072"	"1-16569"	"R+16189"	"1"	"0.8547"
"HG02073"	"1-16569"	"F1f"	"1"	"0.9126"
"HG02075"	"1-16569"	"M7b1a1e1"	"1"	"1.0000"
"HG02076"	"1-16569"	"B5a1"	"1"	"0.8450"
"HG02078"	"1-16569"	"B5a1"	"1"	"0.8221"
"HG02079"	"1-16569"	"M7b1a1f"	"1"	"0.9790"
"HG02081"	"1-16569"	"M9a1a3"	"1"	"0.9812"
"HG02082"	"1-16569"	"F1f"	"1"	"0.9738"
"HG02084"	"1-16569"	"M7b1a1a2"	"1"	"0.9532"
"HG02085"	"1-16569"	"M7b1a1a3"	"1"	"0.9353"
"HG02086"	"1-16569"	"B4c2"	"1"	"0.8773"
"HG02087"	"1-16569"	"R9b1a1a"	"1"	"0.9545"
"HG02088"	"1-16569"	"M7b1a1"	"1"	"0.9586"
"HG02089"	"1-16569"	"B2"	"1"	"0.8759"
"HG02090"	"1-16569"	"B2b+152"	"1"	"1.0000"
"HG02095"	"1-16569"	"L3d1b3"	"1"	"0.9535"
"HG02102"	"1-16569"	"D1"	"1"	"0.9513"
"HG02104"	"1-16569"	"B2b"	"1"	"0.9369"
"HG02105"	"1-16569"	"D4h3a9"	"1"	"0.9819"
"HG02107"	"1-16569"	"L3b1a7a"	"1"	"0.9622"
"HG02108"	"1-16569"	"L1b1a3b"	"1"	"0.9754"
"HG02111"	"1-16569"	"L0a1a+200"	"1"	"0.9808"
"HG02113"	"1-16569"	"F1a'c'f"	"1"	"0.9695"
"HG02116"	"1-16569"	"C4d"	"1"	"0.9590"
"HG02121"	"1-16569"	"M7b1a1f"	"1"	"0.9818"
"HG02122"	"1-16569"	"R+16189"	"1"	"0.8076"
"HG02127"	"1-16569"	"M7c1a"	"1"	"0.9288"
"HG02128"	"1-16569"	"F1a1a"	"1"	"0.9409"
"HG02130"	"1-16569"	"F2a+@16291"	"1"	"0.9535"
"HG02131"	"1-16569"	"F2b1"	"1"	"0.9804"
"HG02133"	"1-16569"	"F1f"	"1"	"0.9769"
"HG02134"	"1-16569"	"B4a1c4"	"1"	"0.9759"
"HG02136"	"1-16569"	"F1a1a1"	"1"	"0.9604"
"HG02137"	"1-16569"	"M7b1a1a2"	"1"	"0.9434"
"HG02138"	"1-16569"	"B5a1a"	"1"	"0.9565"
"HG02139"	"1-16569"	"A+152+16362+200"	"1"	"0.8997"
"HG02140"	"1-16569"	"B5a1"	"1"	"0.8684"
"HG02141"	"1-16569"	"M7b1a1f"	"1"	"0.9654"
"HG02142"	"1-16569"	"M12a1a1"	"1"	"0.9721"
"HG02143"	"1-16569"	"L3k1"	"1"	"0.9330"
"HG02144"	"1-16569"	"L2c3"	"1"	"0.9659"
"HG02146"	"1-16569"	"B2b"	"1"	"0.9563"
"HG02147"	"1-16569"	"D1"	"1"	"0.9625"
"HG02150"	"1-16569"	"B2"	"1"	"0.9742"
"HG02151"	"1-16569"	"C7a"	"1"	"0.9817"
"HG02152"	"1-16569"	"D5b3"	"1"	"0.9528"
"HG02153"	"1-16569"	"F1f"	"1"	"0.9688"
"HG02154"	"1-16569"	"D4j+(16286)"	"1"	"0.9799"
"HG02155"	"1-16569"	"D4g2a1"	"1"	"0.9502"
"HG02156"	"1-16569"	"M7b1a1a2"	"1"	"0.9886"
"HG02164"	"1-16569"	"R11'B6"	"1"	"0.8420"
"HG02165"	"1-16569"	"B5a1a"	"1"	"0.9776"
"HG02166"	"1-16569"	"M7b1a1d1"	"1"	"1.0000"
"HG02178"	"1-16569"	"F1a1a"	"1"	"0.9692"
"HG02179"	"1-16569"	"F1f"	"1"	"0.9459"
"HG02180"	"1-16569"	"M7b1a1"	"1"	"0.9534"
"HG02181"	"1-16569"	"F1a3"	"1"	"0.9366"
"HG02182"	"1-16569"	"B5a1"	"1"	"0.9325"
"HG02184"	"1-16569"	"R+16189"	"1"	"0.7106"
"HG02185"	"1-16569"	"M7b1a1+(16192)"	"1"	"0.9757"
"HG02186"	"1-16569"	"B5a1a"	"1"	"0.9676"
"HG02187"	"1-16569"	"M7c1a"	"1"	"0.9480"
"HG02188"	"1-16569"	"F1a2a"	"1"	"0.9633"
"HG02190"	"1-16569"	"D5a2b"	"1"	"0.9754"
"HG02215"	"1-16569"	"H3m"	"1"	"0.8752"
"HG02219"	"1-16569"	"H6a1a"	"1"	"0.9833"
"HG02220"	"1-16569"	"K1a4"	"1"	"0.9646"
"HG02221"	"1-16569"	"U5a1i1"	"1"	"0.9978"
"HG02223"	"1-16569"	"H1ak1"	"1"	"0.9322"
"HG02224"	"1-16569"	"H2a1"	"1"	"1.0000"
